rust_path	kind	rust_signature	disposition	python_path	exclusion_kind	rationale
jbotci_syntax::generated_model::SumtiBaseSyntax::ScalarNegatedSumti::scalar_negated_sumti	field	ScalarNegatedSumtiSyntax	direct	jbotci.syntax.strict.SumtiBaseSyntaxScalarNegatedSumti.scalar_negated_sumti		
jbotci_syntax::generated_model::SumtiBaseSyntax::ScalarNegatedSumtiWithBo	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiBaseSyntaxScalarNegatedSumtiWithBo		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiBaseSyntax::ScalarNegatedSumtiWithBo::scalar_negated_sumti_with_bo	field	ScalarNegatedSumtiWithBoSyntax	direct	jbotci.syntax.strict.SumtiBaseSyntaxScalarNegatedSumtiWithBo.scalar_negated_sumti_with_bo		
jbotci_syntax::generated_model::SumtiBaseSyntax::ScalarNegatedTermWrapper	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiBaseSyntaxScalarNegatedTermWrapper		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiBaseSyntax::ScalarNegatedTermWrapper::scalar_negated_term_wrapper	field	ScalarNegatedTermWrapperSyntax	direct	jbotci.syntax.strict.SumtiBaseSyntaxScalarNegatedTermWrapper.scalar_negated_term_wrapper		
jbotci_syntax::generated_model::SumtiBaseSyntax::ScalarNegatedTermWrapperWithBo	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiBaseSyntaxScalarNegatedTermWrapperWithBo		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiBaseSyntax::ScalarNegatedTermWrapperWithBo::scalar_negated_term_wrapper_with_bo	field	ScalarNegatedTermWrapperWithBoSyntax	direct	jbotci.syntax.strict.SumtiBaseSyntaxScalarNegatedTermWrapperWithBo.scalar_negated_term_wrapper_with_bo		
jbotci_syntax::generated_model::SumtiBaseSyntax::ZantufaDescriptorWithRelativesFirstSumti	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiBaseSyntaxZantufaDescriptorWithRelativesFirstSumti		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiBaseSyntax::ZantufaDescriptorWithRelativesFirstSumti::zantufa_descriptor_with_relatives_first_sumti	field	ZantufaDescriptorWithRelativesFirstSumtiSyntax	direct	jbotci.syntax.strict.SumtiBaseSyntaxZantufaDescriptorWithRelativesFirstSumti.zantufa_descriptor_with_relatives_first_sumti		
jbotci_syntax::generated_model::SumtiBoundSyntax	type	product	direct	jbotci.syntax.strict.SumtiBoundSyntax		
jbotci_syntax::generated_model::SumtiBoundSyntax::bound_tail	field	SumtiBoundTailSyntax | None	direct	jbotci.syntax.strict.SumtiBoundSyntax.bound_tail		
jbotci_syntax::generated_model::SumtiBoundSyntax::leading_sumti	field	SumtiForethoughtSyntax	direct	jbotci.syntax.strict.SumtiBoundSyntax.leading_sumti		
jbotci_syntax::generated_model::SumtiBoundTailSyntax	type	sum	direct	jbotci.syntax.strict.SumtiBoundTailSyntax		
jbotci_syntax::generated_model::SumtiBoundTailSyntax::BoundSumtiTail	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiBoundTailSyntaxBoundSumtiTail		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiBoundTailSyntax::BoundSumtiTail::bound_sumti_tail	field	BoundSumtiTailSyntax	direct	jbotci.syntax.strict.SumtiBoundTailSyntaxBoundSumtiTail.bound_sumti_tail		
jbotci_syntax::generated_model::SumtiBoundTailSyntax::ZantufaBoundSumtiTail	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiBoundTailSyntaxZantufaBoundSumtiTail		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiBoundTailSyntax::ZantufaBoundSumtiTail::zantufa_bound_sumti_tail	field	ZantufaBoundSumtiTailSyntax	direct	jbotci.syntax.strict.SumtiBoundTailSyntaxZantufaBoundSumtiTail.zantufa_bound_sumti_tail		
jbotci_syntax::generated_model::SumtiConnectionTailSyntax	type	product	direct	jbotci.syntax.strict.SumtiConnectionTailSyntax		
jbotci_syntax::generated_model::SumtiConnectionTailSyntax::connective	field	SumtiConnectiveSyntax	direct	jbotci.syntax.strict.SumtiConnectionTailSyntax.connective		
jbotci_syntax::generated_model::SumtiConnectionTailSyntax::sumti	field	SumtiSyntax	direct	jbotci.syntax.strict.SumtiConnectionTailSyntax.sumti		
jbotci_syntax::generated_model::SumtiConnectiveSyntax	type	sum	direct	jbotci.syntax.strict.SumtiConnectiveSyntax		
jbotci_syntax::generated_model::SumtiConnectiveSyntax::EkConnective	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiConnectiveSyntaxEkConnective		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiConnectiveSyntax::EkConnective::ek_connective	field	EkConnectiveSyntax	direct	jbotci.syntax.strict.SumtiConnectiveSyntaxEkConnective.ek_connective		
jbotci_syntax::generated_model::SumtiConnectiveSyntax::ExperimentalVuhuSumtiConnective	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiConnectiveSyntaxExperimentalVuhuSumtiConnective		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiConnectiveSyntax::ExperimentalVuhuSumtiConnective::experimental_vuhu_sumti_connective	field	ExperimentalVuhuSumtiConnectiveSyntax	direct	jbotci.syntax.strict.SumtiConnectiveSyntaxExperimentalVuhuSumtiConnective.experimental_vuhu_sumti_connective		
jbotci_syntax::generated_model::SumtiConnectiveSyntax::JehiConnective	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiConnectiveSyntaxJehiConnective		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiConnectiveSyntax::JehiConnective::jehi_connective	field	JehiConnectiveSyntax	direct	jbotci.syntax.strict.SumtiConnectiveSyntaxJehiConnective.jehi_connective		
jbotci_syntax::generated_model::SumtiConnectiveSyntax::JoikConnective	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiConnectiveSyntaxJoikConnective		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiConnectiveSyntax::JoikConnective::joik_connective	field	JoikConnectiveSyntax	direct	jbotci.syntax.strict.SumtiConnectiveSyntaxJoikConnective.joik_connective		
jbotci_syntax::generated_model::SumtiForethoughtSyntax	type	sum	direct	jbotci.syntax.strict.SumtiForethoughtSyntax		
jbotci_syntax::generated_model::SumtiForethoughtSyntax::ForethoughtSumti	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiForethoughtSyntaxForethoughtSumti		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiForethoughtSyntax::ForethoughtSumti::forethought_sumti	field	ForethoughtSumtiSyntax	direct	jbotci.syntax.strict.SumtiForethoughtSyntaxForethoughtSumti.forethought_sumti		
jbotci_syntax::generated_model::SumtiForethoughtSyntax::SimpleSumti	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiForethoughtSyntaxSimpleSumti		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiForethoughtSyntax::SimpleSumti::simple_sumti	field	SimpleSumtiSyntax	direct	jbotci.syntax.strict.SumtiForethoughtSyntaxSimpleSumti.simple_sumti		
jbotci_syntax::generated_model::SumtiGroupedSyntax	type	product	direct	jbotci.syntax.strict.SumtiGroupedSyntax		
jbotci_syntax::generated_model::SumtiGroupedSyntax::grouped_tail	field	GroupedSumtiTailSyntax | None	direct	jbotci.syntax.strict.SumtiGroupedSyntax.grouped_tail		
jbotci_syntax::generated_model::SumtiGroupedSyntax::leading_sumti	field	SumtiAfterthoughtSyntax	direct	jbotci.syntax.strict.SumtiGroupedSyntax.leading_sumti		
jbotci_syntax::generated_model::SumtiMeksoOperandSyntax	type	product	direct	jbotci.syntax.strict.SumtiMeksoOperandSyntax		
jbotci_syntax::generated_model::SumtiMeksoOperandSyntax::mohe	field	WithFreeModifiers[Token, FreeModifierSyntax]	direct	jbotci.syntax.strict.SumtiMeksoOperandSyntax.mohe		
jbotci_syntax::generated_model::SumtiMeksoOperandSyntax::sumti	field	SumtiSyntax	direct	jbotci.syntax.strict.SumtiMeksoOperandSyntax.sumti		
jbotci_syntax::generated_model::SumtiMeksoOperandSyntax::tehu	field	WithFreeModifiers[Token, FreeModifierSyntax] | None	direct	jbotci.syntax.strict.SumtiMeksoOperandSyntax.tehu		
jbotci_syntax::generated_model::SumtiSelbriSumtiSyntax	type	sum	direct	jbotci.syntax.strict.SumtiSelbriSumtiSyntax		
jbotci_syntax::generated_model::SumtiSelbriSumtiSyntax::MeLerfuSumti	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiSelbriSumtiSyntaxMeLerfuSumti		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiSelbriSumtiSyntax::MeLerfuSumti::me_lerfu_sumti	field	MeLerfuSumtiSyntax	direct	jbotci.syntax.strict.SumtiSelbriSumtiSyntaxMeLerfuSumti.me_lerfu_sumti		
jbotci_syntax::generated_model::SumtiSelbriSumtiSyntax::Sumti	variant	Tuple	python-equivalent	jbotci.syntax.strict.SumtiSelbriSumtiSyntaxSumti		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::SumtiSelbriSumtiSyntax::Sumti::sumti	field	SumtiSyntax	direct	jbotci.syntax.strict.SumtiSelbriSumtiSyntaxSumti.sumti		
jbotci_syntax::generated_model::SumtiSelbriTanruUnitSyntax	type	product	direct	jbotci.syntax.strict.SumtiSelbriTanruUnitSyntax		
jbotci_syntax::generated_model::SumtiSelbriTanruUnitSyntax::me	field	WithFreeModifiers[Token, FreeModifierSyntax]	direct	jbotci.syntax.strict.SumtiSelbriTanruUnitSyntax.me		
jbotci_syntax::generated_model::SumtiSelbriTanruUnitSyntax::mehu	field	WithFreeModifiers[Token, FreeModifierSyntax] | None	direct	jbotci.syntax.strict.SumtiSelbriTanruUnitSyntax.mehu		
jbotci_syntax::generated_model::SumtiSelbriTanruUnitSyntax::moi_marker	field	WithFreeModifiers[Token, FreeModifierSyntax] | None	direct	jbotci.syntax.strict.SumtiSelbriTanruUnitSyntax.moi_marker		
jbotci_syntax::generated_model::SumtiSelbriTanruUnitSyntax::sumti	field	SumtiSelbriSumtiSyntax	direct	jbotci.syntax.strict.SumtiSelbriTanruUnitSyntax.sumti		
jbotci_syntax::generated_model::SumtiSyntax	type	product	direct	jbotci.syntax.strict.SumtiSyntax		
jbotci_syntax::generated_model::SumtiSyntax::base_sumti	field	SumtiGroupedSyntax	direct	jbotci.syntax.strict.SumtiSyntax.base_sumti		
jbotci_syntax::generated_model::SumtiSyntax::vuho_attachment	field	VuhoSumtiAttachmentTailSyntax | None	direct	jbotci.syntax.strict.SumtiSyntax.vuho_attachment		
jbotci_syntax::generated_model::SumtiTermSyntax	type	product	direct	jbotci.syntax.strict.SumtiTermSyntax		
jbotci_syntax::generated_model::SumtiTermSyntax::sumti	field	SumtiSyntax	direct	jbotci.syntax.strict.SumtiTermSyntax.sumti		
jbotci_syntax::generated_model::TagSelbriTanruUnitSyntax	type	product	direct	jbotci.syntax.strict.TagSelbriTanruUnitSyntax		
jbotci_syntax::generated_model::TagSelbriTanruUnitSyntax::tag	field	TenseModalSyntax	direct	jbotci.syntax.strict.TagSelbriTanruUnitSyntax.tag		
jbotci_syntax::generated_model::TagSelbriTanruUnitSyntax::xohi	field	WithFreeModifiers[Token, FreeModifierSyntax]	direct	jbotci.syntax.strict.TagSelbriTanruUnitSyntax.xohi		
jbotci_syntax::generated_model::TaggedElidedSumtiSyntax	type	product	direct	jbotci.syntax.strict.TaggedElidedSumtiSyntax		
jbotci_syntax::generated_model::TaggedElidedSumtiSyntax::maybe_ku	field	WithFreeModifiers[Token, FreeModifierSyntax] | None	direct	jbotci.syntax.strict.TaggedElidedSumtiSyntax.maybe_ku		
jbotci_syntax::generated_model::TaggedOrElidedSumtiSyntax	type	sum	direct	jbotci.syntax.strict.TaggedOrElidedSumtiSyntax		
jbotci_syntax::generated_model::TaggedOrElidedSumtiSyntax::Sumti	variant	Tuple	python-equivalent	jbotci.syntax.strict.TaggedOrElidedSumtiSyntaxSumti		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TaggedOrElidedSumtiSyntax::Sumti::sumti	field	SumtiSyntax	direct	jbotci.syntax.strict.TaggedOrElidedSumtiSyntaxSumti.sumti		
jbotci_syntax::generated_model::TaggedOrElidedSumtiSyntax::TaggedElidedSumti	variant	Tuple	python-equivalent	jbotci.syntax.strict.TaggedOrElidedSumtiSyntaxTaggedElidedSumti		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TaggedOrElidedSumtiSyntax::TaggedElidedSumti::tagged_elided_sumti	field	TaggedElidedSumtiSyntax	direct	jbotci.syntax.strict.TaggedOrElidedSumtiSyntaxTaggedElidedSumti.tagged_elided_sumti		
jbotci_syntax::generated_model::TaggedSelbriGroupTanruUnitSyntax	type	product	direct	jbotci.syntax.strict.TaggedSelbriGroupTanruUnitSyntax		
jbotci_syntax::generated_model::TaggedSelbriGroupTanruUnitSyntax::inner_selbri	field	ConnectedSelbriSyntax	direct	jbotci.syntax.strict.TaggedSelbriGroupTanruUnitSyntax.inner_selbri		
jbotci_syntax::generated_model::TaggedSelbriGroupTanruUnitSyntax::tense_modal	field	TenseModalSyntax	direct	jbotci.syntax.strict.TaggedSelbriGroupTanruUnitSyntax.tense_modal		
jbotci_syntax::generated_model::TaggedSelbriSyntax	type	product	direct	jbotci.syntax.strict.TaggedSelbriSyntax		
jbotci_syntax::generated_model::TaggedSelbriSyntax::inner_selbri	field	UntaggedSelbriSyntax	direct	jbotci.syntax.strict.TaggedSelbriSyntax.inner_selbri		
jbotci_syntax::generated_model::TaggedSelbriSyntax::tense_modal	field	TenseModalSyntax	direct	jbotci.syntax.strict.TaggedSelbriSyntax.tense_modal		
jbotci_syntax::generated_model::TaggedSelbriWithoutTerminalRelativeSyntax	type	product	direct	jbotci.syntax.strict.TaggedSelbriWithoutTerminalRelativeSyntax		
jbotci_syntax::generated_model::TaggedSelbriWithoutTerminalRelativeSyntax::inner_selbri	field	UntaggedSelbriWithoutTerminalRelativeSyntax	direct	jbotci.syntax.strict.TaggedSelbriWithoutTerminalRelativeSyntax.inner_selbri		
jbotci_syntax::generated_model::TaggedSelbriWithoutTerminalRelativeSyntax::tense_modal	field	TenseModalSyntax	direct	jbotci.syntax.strict.TaggedSelbriWithoutTerminalRelativeSyntax.tense_modal		
jbotci_syntax::generated_model::TaggedSumtiBeforeTagTermSyntax	type	product	direct	jbotci.syntax.strict.TaggedSumtiBeforeTagTermSyntax		
jbotci_syntax::generated_model::TaggedSumtiBeforeTagTermSyntax::tense_modal	field	LeadingTermTagTenseModalSyntax	direct	jbotci.syntax.strict.TaggedSumtiBeforeTagTermSyntax.tense_modal		
jbotci_syntax::generated_model::TaggedSumtiTermSyntax	type	product	direct	jbotci.syntax.strict.TaggedSumtiTermSyntax		
jbotci_syntax::generated_model::TaggedSumtiTermSyntax::sumti	field	TaggedOrElidedSumtiSyntax	direct	jbotci.syntax.strict.TaggedSumtiTermSyntax.sumti		
jbotci_syntax::generated_model::TaggedSumtiTermSyntax::tense_modal	field	LeadingTermTagTenseModalSyntax	direct	jbotci.syntax.strict.TaggedSumtiTermSyntax.tense_modal		
jbotci_syntax::generated_model::TaheIntervalPropertyTenseSyntax	type	product	direct	jbotci.syntax.strict.TaheIntervalPropertyTenseSyntax		
jbotci_syntax::generated_model::TaheIntervalPropertyTenseSyntax::nai	field	WithFreeModifiers[Token, FreeModifierSyntax] | None	direct	jbotci.syntax.strict.TaheIntervalPropertyTenseSyntax.nai		
jbotci_syntax::generated_model::TaheIntervalPropertyTenseSyntax::tahe	field	WithFreeModifiers[Token, FreeModifierSyntax]	direct	jbotci.syntax.strict.TaheIntervalPropertyTenseSyntax.tahe		
jbotci_syntax::generated_model::TanruJaiInnerSelbriSyntax	type	product	direct	jbotci.syntax.strict.TanruJaiInnerSelbriSyntax		
jbotci_syntax::generated_model::TanruJaiInnerSelbriSyntax::additional_units	field	tuple[JaiInnerTanruUnitSyntax, ...]	direct	jbotci.syntax.strict.TanruJaiInnerSelbriSyntax.additional_units		
jbotci_syntax::generated_model::TanruJaiInnerSelbriSyntax::first_unit	field	JaiInnerTanruUnitSyntax	direct	jbotci.syntax.strict.TanruJaiInnerSelbriSyntax.first_unit		
jbotci_syntax::generated_model::TanruSelbriSyntax	type	product	direct	jbotci.syntax.strict.TanruSelbriSyntax		
jbotci_syntax::generated_model::TanruSelbriSyntax::additional_selbri	field	tuple[ConnectedSelbriSyntax, ...]	direct	jbotci.syntax.strict.TanruSelbriSyntax.additional_selbri		
jbotci_syntax::generated_model::TanruSelbriSyntax::first_selbri	field	ConnectedSelbriSyntax	direct	jbotci.syntax.strict.TanruSelbriSyntax.first_selbri		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax	type	sum	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntax		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::AbstractionTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxAbstractionTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::AbstractionTanruUnit::abstraction_tanru_unit	field	AbstractionTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxAbstractionTanruUnit.abstraction_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::GohaWordTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxGohaWordTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::GohaWordTanruUnit::goha_word_tanru_unit	field	GohaWordTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxGohaWordTanruUnit.goha_word_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::GroupedTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxGroupedTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::GroupedTanruUnit::grouped_tanru_unit	field	GroupedTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxGroupedTanruUnit.grouped_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::JaiModalTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxJaiModalTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::JaiModalTanruUnit::jai_modal_tanru_unit	field	JaiModalTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxJaiModalTanruUnit.jai_modal_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::OperatorSelbriTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxOperatorSelbriTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::OperatorSelbriTanruUnit::operator_selbri_tanru_unit	field	OperatorSelbriTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxOperatorSelbriTanruUnit.operator_selbri_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::OrdinalTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxOrdinalTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::OrdinalTanruUnit::ordinal_tanru_unit	field	OrdinalTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxOrdinalTanruUnit.ordinal_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::PreposedLinkargsTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxPreposedLinkargsTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::PreposedLinkargsTanruUnit::preposed_linkargs_tanru_unit	field	PreposedLinkargsTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxPreposedLinkargsTanruUnit.preposed_linkargs_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ProBridiTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxProBridiTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ProBridiTanruUnit::pro_bridi_tanru_unit	field	ProBridiTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxProBridiTanruUnit.pro_bridi_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::QuotedBridiSelbriTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxQuotedBridiSelbriTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::QuotedBridiSelbriTanruUnit::quoted_bridi_selbri_tanru_unit	field	QuotedBridiSelbriTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxQuotedBridiSelbriTanruUnit.quoted_bridi_selbri_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::QuotedTextSelbriTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxQuotedTextSelbriTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::QuotedTextSelbriTanruUnit::quoted_text_selbri_tanru_unit	field	QuotedTextSelbriTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxQuotedTextSelbriTanruUnit.quoted_text_selbri_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ScalarNegatedTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxScalarNegatedTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ScalarNegatedTanruUnit::scalar_negated_tanru_unit	field	ScalarNegatedTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxScalarNegatedTanruUnit.scalar_negated_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::SumtiSelbriTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxSumtiSelbriTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::SumtiSelbriTanruUnit::sumti_selbri_tanru_unit	field	SumtiSelbriTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxSumtiSelbriTanruUnit.sumti_selbri_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::TagSelbriTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxTagSelbriTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::TagSelbriTanruUnit::tag_selbri_tanru_unit	field	TagSelbriTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxTagSelbriTanruUnit.tag_selbri_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::TextSelbriTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxTextSelbriTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::TextSelbriTanruUnit::text_selbri_tanru_unit	field	TextSelbriTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxTextSelbriTanruUnit.text_selbri_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::WordTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxWordTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::WordTanruUnit::word_tanru_unit	field	WordTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxWordTanruUnit.word_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ZantufaKeCoGroupedTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxZantufaKeCoGroupedTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ZantufaKeCoGroupedTanruUnit::zantufa_ke_co_grouped_tanru_unit	field	ZantufaKeCoGroupedTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxZantufaKeCoGroupedTanruUnit.zantufa_ke_co_grouped_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ZantufaMeTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxZantufaMeTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ZantufaMeTanruUnit::zantufa_me_tanru_unit	field	ZantufaMeTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxZantufaMeTanruUnit.zantufa_me_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ZantufaMexMoiTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxZantufaMexMoiTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ZantufaMexMoiTanruUnit::zantufa_mex_moi_tanru_unit	field	ZantufaMexMoiTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxZantufaMexMoiTanruUnit.zantufa_mex_moi_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ZantufaStatementAbstractionTanruUnit	variant	Tuple	python-equivalent	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxZantufaStatementAbstractionTanruUnit		Rust enum alternative is an immutable final Python variant class in the generated closed union.
jbotci_syntax::generated_model::TanruUnitAtomBaseSyntax::ZantufaStatementAbstractionTanruUnit::zantufa_statement_abstraction_tanru_unit	field	ZantufaStatementAbstractionTanruUnitSyntax	direct	jbotci.syntax.strict.TanruUnitAtomBaseSyntaxZantufaStatementAbstractionTanruUnit.zantufa_statement_abstraction_tanru_unit		
jbotci_syntax::generated_model::TanruUnitAtomSyntax	type	product	direct	jbotci.syntax.strict.TanruUnitAtomSyntax		
